School_Name,Status of School,County,Lat,Lon,DevicesExpected,DevicesDelivered,DeliveredMonth,Power_Connection,Class one enrollment,,,,,,,,
KITOBEN PRIMARY SCHOOL,PUBLIC,NAKURU,-0.67722,35.639261,439,156,JANUARY,Solar,1064,,,,,,,,
KIANGUA PRI,PUBLIC,MERU,-0.192061944,37.6057375,235,46,OCTOBER,NO,9072,,,,,,,,
KAMAEMBE PRI SCH,PUBLIC,KITUI,-1.3318,38.16959,635,222,OCTOBER,KPLC,670,,,,,,,,
AINSWORTH STREET PRI SCH,PUBLIC,NAIROBI,-1.273194,36.843825,170,68,AUGUST,Solar,8133,,,,,,,,
USANGA PRI,PUBLIC,KITUI,-1.50648,38.07185,680,17,APRIL,Solar,7633,,,,,,,,
ULAWE APATE PRIMARY,PUBLIC,SIAYA,0.0934,34.19152,964,512,JANUARY,KPLC,8895,,,,,,,,
BURU ATEGO PRY SCH,PUBLIC,HOMA BAY,-0.607633,34.413592,247,12,NOVEMBER,NO,8625,,,,,,,,
NYARONGE DEB PR,PUBLIC,NYAMIRA,-0.684849,35.01803,569,26,JUNE,KPLC,8533,,,,,,,,
KIPTULWA PRI SCH,PUBLIC,BOMET,-0.76544,35.17972,353,51,OCTOBER,Solar,6239,,,,,,,,
ITOIK PRIMARY,PUBLIC,KERICHO,-0.61244,35.22079,757,439,APRIL,NO,6727,,,,,,,,
KARIBA ROAD PRIMARY,PUBLIC,NAKURU,-0.29451,36.07048,581,570,NOVEMBER,NO,406,,,,,,,,
OYOLA PRY,PUBLIC,KISUMU,-0.124298,34.819777,610,405,MARCH,KPLC,9052,,,,,,,,
PUSANGI PRI,PUBLIC,NAROK,-1.16718,34.96846,887,88,AUGUST,NO,446,,,,,,,,
KWA NDONDO PRIMARY,PUBLIC,KITUI,-1.18213,38.04779,63,1,FEBRUARY,NO,9955,,,,,,,,
CCM KIMBO PRI SCH,PUBLIC,MERU,0.085649444,37.49435888,452,117,JULY,KPLC,776,,,,,,,,
ST PETR'S KAPKECHUI PRI,PUBLIC,UASIN GISHU,0.584665,34.898438,61,37,AUGUST,NO,6567,,,,,,,,
LESANYO PRI SCH,PUBLIC,WAJIR,2.88033,39.27278,955,371,OCTOBER,KPLC,6029,,,,,,,,
EMWIRU PRI,PUBLIC,KAKAMEGA,0.17092,34.63366,287,46,JANUARY,KPLC,153,,,,,,,,
BARWAQA PRI SCH,PUBLIC,MANDERA,3.92132,41.83502,476,80,NOVEMBER,KPLC,8957,,,,,,,,
KANDANI PRI SCH,PUBLIC,MURANG'A,-0.872591,37.102754,500,400,NOVEMBER,NO,6063,,,,,,,,
ACK NYAGARI PRI SCH,PUBLIC,EMBU,-0.4436,37.61958,803,627,AUGUST,Solar,6813,,,,,,,,
PARANAE PRI SCH,PUBLIC,KAJIADO,-1.92288,36.767056,444,167,APRIL,NO,5041,,,,,,,,
ITUMBULE PRI SCH,PUBLIC,MAKUENI,-1.76066,37.48305,295,218,JANUARY,KPLC,3407,,,,,,,,
SATIET PRIMARY SCHOOL,PUBLIC,BOMET,-0.62845,35.36568,504,5,JUNE,KPLC,5217,,,,,,,,
KIBATHI PRI SCH,PUBLIC,KIAMBU,-1.17583,36.75354,704,225,APRIL,KPLC,1990,,,,,,,,
NYAMANGA PRI,PUBLIC,HOMA BAY,-0.460508,34.193409,587,417,OCTOBER,KPLC,8483,,,,,,,,
KIONYO DEB PRI SPECIAL UNIT,PUBLIC,KISII,-0.814277,34.77937,380,346,OCTOBER,Solar,8725,,,,,,,,
SALABWEK PRI SCH,PUBLIC,NAROK,-0.995399,35.419561,15,10,MAY,NO,8186,,,,,,,,
KAPYEMIT PRIMARY,PUBLIC,NAKURU,-0.528341,36.044466,834,349,OCTOBER,NO,7364,,,,,,,,
ST JOSEPH KAMASIA PRI,PUBLIC,NANDI,0.46178,35.09083,790,189,JUNE,Solar,1377,,,,,,,,
KATHAKA PRI,PUBLIC,KIRINYAGA,-0.611908,37.227291,154,33,NOVEMBER,Solar,96,,,,,,,,
CHEPTENDENIET PRIMARY,PUBLIC,KERICHO,-0.533894,35.12841,851,50,SEPTEMBER,Solar,5585,,,,,,,,
PAROO PRI SCH,PUBLIC,WEST POKOT,1.405117,35.468993,597,376,NOVEMBER,NO,4750,,,,,,,,
GIDAGADI PRY SCH,PUBLIC,VIHIGA,0.0516,34.74185,139,126,NOVEMBER,KPLC,7022,,,,,,,,
NYAMARIMBA PRI,PUBLIC,KISUMU,-0.36982,34.90506,806,128,MARCH,KPLC,6865,,,,,,,,
ARNESENS PRI,PUBLIC,UASIN GISHU,0.222928,35.42902,781,7,JULY,NO,3617,,,,,,,,
GIAMPAMPO PRI,PUBLIC,THARAKA-NITHI,-0.293663,37.618476,287,123,JUNE,KPLC,9767,,,,,,,,
MUJI FYM SPECIAL UNIT,PUBLIC,BUNGOMA,0.58784,34.744822,795,1,JULY,Solar,3739,,,,,,,,
MULU MUTISYA PRI SCH,PUBLIC,MAKUENI,-2.59331,38.111,123,56,AUGUST,NO,8968,,,,,,,,
MOSIRO PRI SCH,PUBLIC,NAROK,-1.386582,36.117796,226,203,SEPTEMBER,KPLC,8737,,,,,,,,
KATILU MIXED BOARDING PRI,PUBLIC,TURKANA,2.274592,35.42669,194,81,SEPTEMBER,KPLC,1341,,,,,,,,
KIMBOO PRY,PUBLIC,MAKUENI,-2.29556,37.77512,438,438,JUNE,KPLC,9788,,,,,,,,
RUGA KWABWAI PRIMARY,PUBLIC,HOMA BAY,-0.781596,34.3092,67,32,MARCH,NO,3447,,,,,,,,
YALA TOWNSHIP PRIMARY,PUBLIC,SIAYA,0.09732,34.53703,970,165,SEPTEMBER,KPLC,9937,,,,,,,,
CHACHA-MARUA PRY,PUBLIC,MIGORI,-1.237944,34.58076,230,28,FEBRUARY,KPLC,9807,,,,,,,,
KOSAWO PRY SCH,PUBLIC,KISUMU,-0.08699,34.77998,31,9,FEBRUARY,KPLC,3867,,,,,,,,
NKOBEN PRI SCH,PUBLIC,NAROK,-1.019638,35.725701,218,204,JUNE,NO,1461,,,,,,,,
MATINGA PRY,PUBLIC,MAKUENI,-2.36081,38.0128,372,49,JULY,Solar,387,,,,,,,,
OLOOLCHURRA PRI,PUBLIC,NAROK,-1.47977,35.30032,720,427,NOVEMBER,NO,2076,,,,,,,,
KAIRINI PRI,PUBLIC,THARAKA-NITHI,-0.357821,37.745855,110,67,JUNE,Solar,568,,,,,,,,
MWANGAZA PRI,PUBLIC,NYANDARUA,-0.549701944,36.44091611,548,31,OCTOBER,Solar,6990,,,,,,,,
NDEREMA DEB PRI,PUBLIC,NYAMIRA,-0.77631,35.055762,541,537,OCTOBER,NO,9892,,,,,,,,
MPUKONI PRI,PUBLIC,THARAKA-NITHI,-0.373759,37.65858,854,666,OCTOBER,NO,9542,,,,,,,,
GESICHO DEB PRIMARY,PUBLIC,KISII,-0.841725,34.923575,426,146,JUNE,NO,3547,,,,,,,,
MUI PRIMARY SCHOOL,PUBLIC,KITUI,-1.11773,38.20751,367,59,APRIL,KPLC,999,,,,,,,,
SINOKO PRI SCH,PUBLIC,BUNGOMA,0.969333,35.150537,251,6,JANUARY,KPLC,8262,,,,,,,,
LELAITICH  PRIMARY,PUBLIC,NAKURU,-0.392472,35.592491,928,331,AUGUST,NO,534,,,,,,,,
ST. ELIZABETH PRI,PUBLIC,THARAKA-NITHI,-0.212963055,37.65826889,779,511,MAY,KPLC,1112,,,,,,,,
RIRUTA SATELITE PRI,PUBLIC,NAIROBI,-1.289883,36.735422,832,472,AUGUST,KPLC,7776,,,,,,,,
KWIHOTA  SPECIAL UNIT PRI  SCH,PUBLIC,KIAMBU,-1.159429,36.987789,858,563,OCTOBER,NO,1931,,,,,,,,
KUUI PRI,PUBLIC,EMBU,-0.540547,37.703137,886,461,JUNE,KPLC,8201,,,,,,,,
ORE PRY,PUBLIC,MIGORI,-1.1351,34.38071,699,50,AUGUST,Solar,9262,,,,,,,,
KIMANGU PRIMARY SCH,PUBLIC,NAKURU,-0.148262,35.838986,817,768,JULY,KPLC,4931,,,,,,,,
MIRANGO PRY SCH,PUBLIC,LAIKIPIA,0.495168,36.403474,397,115,OCTOBER,KPLC,2592,,,,,,,,
KARIAINI PRI SCH,PUBLIC,NYANDARUA,-0.40723944,36.54738417,385,216,APRIL,NO,6023,,,,,,,,
AKALA PRY SCH,PUBLIC,HOMA BAY,-0.705659,34.397878,506,20,OCTOBER,Solar,9884,,,,,,,,
MAVIANI PRI,PUBLIC,MAKUENI,-1.73207,37.6332,315,269,SEPTEMBER,KPLC,6024,,,,,,,,
BUNGULE PRIMARY,PUBLIC,TAITA TAVETA,-3.84608,38.66515,90,36,OCTOBER,Solar,1171,,,,,,,,
URUDI PRIMARY,PUBLIC,KISUMU,-0.28261,34.9538,214,92,FEBRUARY,NO,6564,,,,,,,,
KALUORE PRY SCH,PUBLIC,KISUMU,-0.19422,34.89417,53,43,JANUARY,Solar,9856,,,,,,,,
SOKO KAGWA PRI SCH,PUBLIC,HOMA BAY,-0.3705,34.68475,92,22,JANUARY,Solar,1179,,,,,,,,
IKINGO PRY SCH,PUBLIC,MERU,0.208736944,37.99557833,541,489,OCTOBER,Solar,7187,,,,,,,,
RUMATHI PRI SCH,PUBLIC,NYANDARUA,-0.348041,36.411937,396,10,JULY,Solar,1008,,,,,,,,
MAKUENI PRI SCH,PUBLIC,KITUI,-2.10755,38.14129,905,99,NOVEMBER,Solar,1230,,,,,,,,
MOGOON PRIMARY SCH,PUBLIC,NAKURU,-0.299761,36.025061,713,628,JUNE,NO,1445,,,,,,,,
NGEYWAN PRI,PUBLIC,BARINGO,0.61621,35.716764,445,146,JANUARY,NO,7075,,,,,,,,
CHESOEN PRI,PUBLIC,NAROK,-0.94978,35.08001,649,342,SEPTEMBER,KPLC,7993,,,,,,,,
WANG'ATA PRIMARY,PUBLIC,NYERI,-0.116991,36.758138,541,518,AUGUST,NO,1321,,,,,,,,
SEED OF HOPE PRI,PUBLIC,EMBU,-0.386076,37.462007,8,4,OCTOBER,KPLC,3046,,,,,,,,
KITULA PRI,PUBLIC,MACHAKOS,-1.46661,37.373385,933,236,APRIL,NO,6906,,,,,,,,
EKERUBO GIETAI DAY PRI,PUBLIC,NYAMIRA,-0.58797,35.029497,678,179,AUGUST,KPLC,5920,,,,,,,,
KIUTANY PRI,PUBLIC,NANDI,0.32574,35.04029,693,410,SEPTEMBER,NO,6049,,,,,,,,
KIRIOGO PRI,PUBLIC,NYANDARUA,-0.123725,36.61638306,457,82,JUNE,NO,5845,,,,,,,,
SANG'ORO PRI,PUBLIC,KISUMU,-0.342368,34.812228,201,31,FEBRUARY,NO,10,,,,,,,,
KIAGI PRY,PUBLIC,NYERI,-0.509775555,37.01402556,508,82,MAY,Solar,3833,,,,,,,,
ARINGO PRY SCH,PUBLIC,MIGORI,-0.840037,34.176384,740,187,AUGUST,NO,9721,,,,,,,,
NAMUKUSE PRI SCH,PUBLIC,TURKANA,3.49187,35.92764,642,155,MARCH,NO,8462,,,,,,,,
MIAANI PRI SCH,PUBLIC,MAKUENI,-2.62238,38.10089,821,86,JUNE,KPLC,9066,,,,,,,,
LELECHWET PRIMARY,PUBLIC,BOMET,-0.683621,35.239279,651,104,JUNE,Solar,1755,,,,,,,,
NYACHURURU PAG  PRI,PUBLIC,NYAMIRA,-0.596646,34.889901,311,51,JUNE,KPLC,5171,,,,,,,,
ITOIBEI PRI SCH,PUBLIC,KERICHO,-0.3183,35.3223,782,377,OCTOBER,KPLC,9834,,,,,,,,
KWAKATIA PRI SCH,PUBLIC,MAKUENI,-1.89672,37.3315,244,206,SEPTEMBER,KPLC,1587,,,,,,,,
BURENDWA PRY,PUBLIC,KAKAMEGA,0.205218,34.670483,422,339,JULY,KPLC,1640,,,,,,,,
NGENYILEL PRI,PUBLIC,BARINGO,0.571726,34.992035,49,27,NOVEMBER,Solar,9835,,,,,,,,
EOR EWUASO PRI SCH,PUBLIC,NAROK,-0.968085,35.644633,152,85,APRIL,NO,7469,,,,,,,,
SENGERERI PR,PUBLIC,NYAMIRA,-0.670175,34.865391,729,132,JUNE,Solar,2659,,,,,,,,
HENRY KOSGEY IRIMIS PRI,PUBLIC,NANDI,0.198,35.13337,672,198,OCTOBER,NO,9063,,,,,,,,
KIERENI PRI,PUBLIC,THARAKA-NITHI,-0.342299,37.645416,478,326,JULY,Solar,9581,,,,,,,,
KITALE FARM PRISON PRI SCH,PUBLIC,TRANS NZOIA,0.975374,35.003163,998,259,NOVEMBER,Solar,888,,,,,,,,
EBUKHOKORO PRI,PUBLIC,KAKAMEGA,0.162560496,34.47983277,685,631,APRIL,KPLC,9873,,,,,,,,
RIANYAKWARA FPCS PRI,PUBLIC,KISII,-0.843908,34.723397,248,163,SEPTEMBER,NO,2077,,,,,,,,
PAUL MBIYU PRI SCH,PUBLIC,MURANG'A,-0.9113,36.986069,197,103,FEBRUARY,Solar,7283,,,,,,,,
KITHITUNI PRIMARY,PUBLIC,KITUI,-1.18005,38.25582,230,16,AUGUST,KPLC,1342,,,,,,,,
ENKIJAPE PRI SCH,PUBLIC,KAJIADO,-2.54344,37.526,563,419,MAY,KPLC,8783,,,,,,,,
KOITALEL PRIMARY,PUBLIC,BOMET,-0.571768,35.267196,403,348,OCTOBER,NO,218,,,,,,,,
ONGE'CHE PRY  SCH,PUBLIC,KISUMU,-0.18306,34.88099,114,112,JANUARY,KPLC,9887,,,,,,,,
RALAK THIM PRIMARY,PUBLIC,SIAYA,0.010835,34.382188,815,236,JUNE,Solar,9764,,,,,,,,
KWENA SDA SPECIAL UNIT SCH,PUBLIC,BUNGOMA,0.73998,34.81586,344,241,MARCH,NO,8069,,,,,,,,
GARSEY PRI SCH,PUBLIC,MANDERA,4.0677,40.99787,503,301,FEBRUARY,KPLC,2959,,,,,,,,
KENYATTA UNIVERSITY PRI SCH,PUBLIC,NAIROBI,-1.182716,36.931027,746,73,FEBRUARY,KPLC,9874,,,,,,,,
ITHIANI PRI SCH,PUBLIC,KITUI,-1.38294,37.93949,713,214,SEPTEMBER,NO,4162,,,,,,,,
KWA KUTU PRI,PUBLIC,KITUI,-1.49534,37.98751,733,103,SEPTEMBER,Solar,1231,,,,,,,,
MACINERY PRI SCH,PUBLIC,NYANDARUA,-0.4087,36.45795,203,130,JUNE,KPLC,93,,,,,,,,
KITOROCH PRI,PUBLIC,NANDI,-0.028063,35.296591,686,163,AUGUST,KPLC,8966,,,,,,,,
ST JOHN PRI SCH,PUBLIC,KAJIADO,-0.670045,36.475904,393,113,AUGUST,NO,310,,,,,,,,
TABAITA PRI SCH,PUBLIC,KERICHO,-0.33741,35.03197,165,78,AUGUST,Solar,5333,,,,,,,,
LIKUYANI PRI,PUBLIC,KAKAMEGA,0.71284,35.11153,923,415,JUNE,Solar,2072,,,,,,,,
MARONGO PAG PRI,PUBLIC,KISII,-0.794198,34.674238,743,657,OCTOBER,Solar,5502,,,,,,,,
ST. LUCY'S KIRIGWA PRY SCH,PUBLIC,MERU,0.16185,37.86747,601,231,MAY,NO,8295,,,,,,,,
NZOIA RC PRI,PUBLIC,BUNGOMA,0.56566,34.756112,472,158,SEPTEMBER,Solar,3683,,,,,,,,
NASOKOL PRI,PUBLIC,WEST POKOT,1.27284,35.08368,904,248,MAY,NO,4907,,,,,,,,
KIMINTET PRI,PUBLIC,NAROK,-1.117378,35.082324,731,309,JULY,KPLC,3800,,,,,,,,
BUGO DOK PRI,PUBLIC,HOMA BAY,-0.489821,34.876034,765,660,MAY,Solar,2007,,,,,,,,
KAIMIRI PRI,PUBLIC,MURANG'A,-0.804612,36.99055,717,422,NOVEMBER,KPLC,7812,,,,,,,,
KANGILWA PRIMARY SCHOOL,PUBLIC,KITUI,-0.90388,38.2833,870,172,OCTOBER,NO,421,,,,,,,,
EMIT PRI SCH,PUBLIC,NANDI,-0.000819,35.166076,504,45,AUGUST,NO,8348,,,,,,,,
THAANA-NZAU PRIMARY,PUBLIC,KITUI,-0.81979,37.85016,961,847,MAY,NO,4962,,,,,,,,
OKIRO PRI SCH,PUBLIC,SIAYA,-0.161663,34.396782,830,274,MARCH,Solar,9744,,,,,,,,
MAIUNI PRY,PUBLIC,MAKUENI,-1.62169,37.54386,212,118,OCTOBER,NO,6066,,,,,,,,
MACHAKOS REHABILITATION SCHOOL,PUBLIC,MACHAKOS,-1.534038,37.258378,806,116,FEBRUARY,Solar,2084,,,,,,,,
NYABURUMBASI DOK PRI,PUBLIC,KISII,-0.781161,34.702409,535,358,FEBRUARY,KPLC,5843,,,,,,,,
NYANSAKIA II DOK PRI,PUBLIC,KISII,-0.829089,34.730323,630,168,JULY,Solar,8591,,,,,,,,
KAPKEI PRI SCH,PUBLIC,UASIN GISHU,0.82009,35.55828,37,19,NOVEMBER,Solar,5092,,,,,,,,
KIMUCHUL PRI SCH,PUBLIC,BOMET,-0.78936,35.50788,969,4,MAY,Solar,5912,,,,,,,,
GIATUTU PRI SCH,PUBLIC,MURANG'A,-0.960651,36.966032,122,15,JUNE,NO,6070,,,,,,,,
RONGAI PRI,PUBLIC,KIAMBU,-1.08987,36.64727,43,11,MARCH,NO,8569,,,,,,,,
KAPKUSENG  R.C PRI SCH,PUBLIC,BUNGOMA,0.824423,34.666543,79,5,JUNE,Solar,7376,,,,,,,,
KEGOGI PRI,PUBLIC,NYAMIRA,-0.643912,34.946259,289,239,MARCH,Solar,8789,,,,,,,,
TINGWA PRI,PUBLIC,UASIN GISHU,0.220898,35.506581,621,437,JUNE,NO,2808,,,,,,,,
LUGUSI K PRIMARY SCH.,PUBLIC,KAKAMEGA,0.468414,34.885001,117,43,MAY,NO,1467,,,,,,,,
BWARE PRI SCH,PUBLIC,HOMA BAY,-0.39344,34.69433,470,333,OCTOBER,KPLC,2725,,,,,,,,
TOO-SIKIRIO PRIMARY SCH,PUBLIC,WEST POKOT,1.459,35.416,597,36,MAY,NO,5817,,,,,,,,
SOROKO PRI SCH,PUBLIC,LAMU,-2.40233,40.47038,163,131,MARCH,Solar,634,,,,,,,,
GONA PRY SCH,PUBLIC,KWALE,-3.996534,39.448394,780,254,JANUARY,NO,3272,,,,,,,,
GUTICHA PRI,PUBLIC,MANDERA,3.59266,40.83384,431,75,JANUARY,KPLC,3126,,,,,,,,
SESIMO PRI SCH,PUBLIC,WEST POKOT,1.30051,35.362536,589,266,OCTOBER,KPLC,1629,,,,,,,,
ARAM PRI SCH,PUBLIC,BARINGO,0.165538,35.83217,631,501,APRIL,KPLC,3909,,,,,,,,
HOMUNOYWA CATHOLIC PRY SCH,PUBLIC,VIHIGA,0.099829,34.743279,456,146,NOVEMBER,Solar,6618,,,,,,,,
KITHARE PRI SCH,PUBLIC,EMBU,-0.359822,37.544552,924,128,AUGUST,Solar,3225,,,,,,,,
NYARI PRI,PUBLIC,KILIFI,-3.510403,39.80571,870,217,OCTOBER,Solar,431,,,,,,,,
MWIYOYO PRI,PUBLIC,HOMA BAY,-0.595587,34.114624,280,22,NOVEMBER,Solar,967,,,,,,,,
VINDA PRI SCH,PUBLIC,KITUI,-1.27769,38.07138,224,45,APRIL,NO,9603,,,,,,,,
MUKAMENI SPECIAL UNIT,PUBLIC,MAKUENI,-2.32957,37.85603,996,306,AUGUST,Solar,8536,,,,,,,,
DEB KAROU PRI,PUBLIC,THARAKA-NITHI,-0.04424,37.94784361,109,101,MARCH,KPLC,844,,,,,,,,
NGORIKA PRI SCH,PUBLIC,NYANDARUA,-0.29735277,36.2315269,193,59,OCTOBER,Solar,7099,,,,,,,,
MUGUMO PRY SCH,PUBLIC,LAIKIPIA,0.113963,37.115152,632,481,SEPTEMBER,NO,5861,,,,,,,,
KARARIW PRIMARY,PUBLIC,SIAYA,0.08339,34.4545,103,27,MARCH,Solar,2197,,,,,,,,
CHEPKOSA PRI SCH,PUBLIC,BOMET,-0.95668,35.24817,99,51,NOVEMBER,KPLC,6854,,,,,,,,
MARIE PRIMARY,PUBLIC,TAITA TAVETA,-3.51613,38.59158,545,231,JUNE,Solar,1687,,,,,,,,
PASSENGA PRIMARY,PUBLIC,NYANDARUA,-0.201579,36.318589,324,182,APRIL,NO,4681,,,,,,,,
NYAGUKU DOK PRI,PUBLIC,KISII,-0.764048,34.771292,453,16,OCTOBER,KPLC,4427,,,,,,,,
KENYATTA PRIMARY,PUBLIC,NAKURU,-0.292073,36.070249,740,63,JUNE,KPLC,7239,,,,,,,,
BURMAYO MANDERA,PUBLIC,MANDERA,2.98039,40.26941,422,190,OCTOBER,KPLC,7551,,,,,,,,
SOSIT PRIMARY SCHOOL,PUBLIC,KERICHO,-0.636859,35.163806,8,5,MAY,Solar,1632,,,,,,,,
KIAONI PRY,PUBLIC,MAKUENI,-2.20274,38.04903,497,493,MAY,KPLC,8575,,,,,,,,
RIRUMI SDA PRI SCH,PUBLIC,NYAMIRA,-0.60851,34.96974,360,14,APRIL,Solar,1219,,,,,,,,
IIANI PRI SCH,PUBLIC,MAKUENI,-1.0154,37.42556,195,165,MAY,NO,5655,,,,,,,,
MUTINGIRI PRI SCH,PUBLIC,MURANG'A,-0.970972222,37.06847222,754,358,SEPTEMBER,Solar,9876,,,,,,,,
KAEMBENI PRI SCH,PUBLIC,KILIFI,-3.06195,40.08711,796,316,SEPTEMBER,KPLC,5253,,,,,,,,
MOUNT SUGUTEK PRI SCH,PUBLIC,BOMET,-0.680815,35.342162,886,95,FEBRUARY,NO,9635,,,,,,,,
INYANZAA PRI SCH,PUBLIC,MACHAKOS,-0.99718,37.76423,764,445,JULY,Solar,1861,,,,,,,,
ISULU PRI SCH,PUBLIC,KAKAMEGA,0.1933,34.69592,513,292,JANUARY,KPLC,6282,,,,,,,,
MATHUNTHINI PRI SCH,PUBLIC,MACHAKOS,-1.38113,37.46799,771,411,OCTOBER,KPLC,1455,,,,,,,,
KILIA PRI,PUBLIC,MAKUENI,-1.98878,37.38665,193,38,MAY,Solar,2131,,,,,,,,
KAMUNGEI PRIMARY,PUBLIC,BOMET,-0.67905,35.220379,341,133,JANUARY,KPLC,4821,,,,,,,,
KONYU PRIMARY,PUBLIC,KITUI,-0.43875,37.97709,620,583,JUNE,Solar,2775,,,,,,,,
MAIANI AIC PRI SCH,PUBLIC,MACHAKOS,-1.50757,37.40939,241,20,AUGUST,KPLC,8657,,,,,,,,
SEGA TOWNSHIP PRIMARY,PUBLIC,SIAYA,0.258111,34.225601,724,478,APRIL,NO,9017,,,,,,,,
ST PAULS KUTUS SPECIAL UNIT,PUBLIC,KIRINYAGA,-0.576439,37.322495,482,255,APRIL,KPLC,1974,,,,,,,,
CHEMWOKTER PRI SCH,PUBLIC,NAROK,-0.927872,35.522439,296,231,JUNE,Solar,3852,,,,,,,,
SIGOTI COMPLEX PRI CATHOLIC CHURCH),PUBLIC,KISUMU,-0.34941,34.96715,650,1,APRIL,KPLC,6927,,,,,,,,
BULULWE PRI,PUBLIC,KAKAMEGA,0.217551887,34.53775647,691,574,OCTOBER,NO,3728,,,,,,,,
NYAITHEE PRY,PUBLIC,NYERI,-0.496615277,37.04290778,952,94,JANUARY,KPLC,2146,,,,,,,,
KITUNGATI PRI,PUBLIC,KITUI,-1.50935,38.04941,972,866,APRIL,NO,4591,,,,,,,,
YIKITAA PRI SCH,PUBLIC,MAKUENI,-2.46784,38.21676,477,418,FEBRUARY,KPLC,8503,,,,,,,,
MULUWA PRI SCH,PUBLIC,KAKAMEGA,0.262231701,34.53994056,920,918,SEPTEMBER,Solar,6945,,,,,,,,
MATIERIO DEB PR,PUBLIC,NYAMIRA,-0.50573,34.90637,649,111,JANUARY,NO,6282,,,,,,,,
KYAMATULA PRI,PUBLIC,MACHAKOS,-1.48116,37.58062,12,3,AUGUST,KPLC,1831,,,,,,,,
