County,Town,Lan Site Name,Longitude_DMS,Latitude_DMS,Longitude_DD,Latitude_DD
Kakamega,Kakamega,Governor,"  0°16'57.57""N"," 34°45'13.11""E",0.2827,34.75364167
Kakamega,Kakamega,KNA,"  0°16'40.88""N"," 34°45'26.03""E",0.2780,34.75723056
Kericho,Kericho,TKL,"  0°22'15.16""S"," 35°16'57.06""E",-0.3709,35.28251667
Kericho,Kericho,county commissioner,"  0°22'10.43""S"," 35°17'6.44""E",-0.3696,35.28512222
Kericho,Kericho,Governor,"  0°22'16.80""S"," 35°16'58.93""E",-0.3713,35.28303611
Kericho,Kericho,KNA,"  0°22'6.86""S"," 35°17'6.17""E",-0.3686,35.28504722
Kiambu,Kiambu,TKL,"  1°10'22.14""S"," 36°49'53.32""E",-1.1728,36.83147778
Kiambu,Kiambu,county commissioner,"  1°10'21.98""S"," 36°49'59.44""E",-1.1728,36.83317778
Kiambu,Kiambu,KNA,"  1°10'21.83""S"," 36°49'52.51""E",-1.1727,36.83125278
Kiambu,Kiambu,Governor,"  1°10'0.71""S"," 36°49'26.89""E",-1.1669,36.82413611
Kirinyaga,Kerugoya,TKL,"  0°29'53.67""S"," 37°16'47.08""E",-0.4982,37.27974444
Kirinyaga,Kerugoya,county commissioner,"  0°29'49.57""S"," 37°16'57.94""E",-0.4971,37.28276111
Kirinyaga,Kerugoya,Assembly,"  0°29'45.52""S"," 37°16'58.57""E",-0.4960,37.28293611
Kirinyaga,Kerugoya,Hospital,"  0°30'16.07""S"," 37°16'54.35""E",-0.5045,37.28176389
Kisumu,Kisumu,TKL,"  0° 6'12.64""S"," 34°45'11.47""E",-0.1035,34.75318611
Kisumu,Kisumu,Governor 1,"  0° 6'33.17""S"," 34°45'1.45""E",-0.1092,34.75040278
Kisumu,Kisumu,KURA,"  0° 4'52.14""S"," 34°44'33.51""E",-0.0812,34.74264167
Kisumu,Kisumu,Kisumu general hospital,"  0° 5'23.52""S"," 34°46'18.53""E",-0.0899,34.77181389
Kitui,Kitui,TKL,"  1°22'2.36""S"," 38° 0'43.93""E",-1.3673,38.01220278
Kitui,Kitui,county commissioner,"  1°21'55.13""S"," 38° 0'55.73""E",-1.3653,38.01548056
Kitui,Kitui,Education ,"  1°21'58.21""S"," 38° 0'54.49""E",-1.3662,38.01513611
Kitui,Kitui,Ardhi house,"  1°21'52.82""S"," 38° 0'50.78""E",-1.3647,38.01410556
Kwale,Kwale,TKL,"  4°10'46.76""S"," 39°27'24.98""E",-4.1797,39.45693889
Kwale,Kwale,county commissioner,"  4°10'49.43""S"," 39°27'22.01""E",-4.1804,39.45611389
Kwale,Kwale,National Registration Bureau ,"  4°10'54.22""S"," 39°27'25.37""E",-4.1817,39.45704722
Kwale,Kwale,KNA,"  4°10'44.05""S"," 39°27'20.09""E",-4.1789,39.45558056
Machakos,Machakos,TKL,"  1°31'4.98""S"," 37°16'2.37""E",-1.5181,37.267325
Machakos,Machakos,county commissioner,"  1°30'51.70""S"," 37°16'7.84""E",-1.5144,37.26884444
Machakos,Machakos,Governor,"  1°31'11.78""S"," 37°15'1.26""E",-1.5199,37.25035
Machakos,Machakos,KNA,"  1°30'58.79""S"," 37°16'2.50""E",-1.5163,37.26736111
Makueni,Wote,TKL,"  1°47'6.88""S"," 37°37'43.70""E",-1.7852,37.62880556
Makueni,Wote,county commissioner,"  1°47'21.11""S"," 37°37'17.27""E",-1.7892,37.62146389
Makueni,Wote,Governor,"  1°47'17.21""S"," 37°37'19.20""E",-1.7881,37.622
Makueni,Wote,Huduma,"  1°47'22.91""S"," 37°37'19.34""E",-1.7897,37.62203889
Muranga,Muranga,TKL,"  0°43'3.73""S"," 37° 9'32.71""E",-0.7177,37.15908611
Muranga,Muranga,county commissioner,"  0°43'2.58""S"," 37° 9'29.68""E",-0.7174,37.15824444
Muranga,Muranga,KNA,"  0°43'4.03""S"," 37° 9'26.41""E",-0.7178,37.15733611
Muranga,Muranga,Ardhi house,"  0°43'7.99""S"," 37° 9'24.36""E",-0.7189,37.15676667
Nakuru,Nakuru,TKL,"  0°17'9.81""S"," 36° 4'13.85""E",-0.2861,36.07051389
Nakuru,Nakuru,county commissioner,"  0°17'13.09""S"," 36° 4'8.86""E",-0.2870,36.06912778
Nakuru,Nakuru,Regional & county police,"  0°17'19.66""S"," 36° 4'9.77""E",-0.2888,36.06938056
Nakuru,Nakuru,Kenya police divisional police,"  0°17'18.22""S"," 36° 4'12.56""E",-0.2884,36.07015556
Migori,Migori,TKL,"  1° 3'50.58""S"," 34°28'28.01""E",-1.0641,34.47444722
Migori,Migori,county commissioner,"  1° 4'9.02""S"," 34°28'47.83""E",-1.0692,34.47995278
Migori,Migori,KNA,"  1° 4'6.05""S"," 34°28'43.83""E",-1.0683,34.47884167
Nyeri,Nyeri,TKL,"  0°25'16.97""S"," 36°56'55.32""E",-0.4214,36.9487
Nyeri,Nyeri,county commissioner,"  0°25'16.54""S"," 36°56'48.43""E",-0.4213,36.94678611
Nyeri,Nyeri,Deputy Commissioner,"  0°25'14.90""S"," 36°56'50.58""E",-0.4208,36.94738333
Nyeri,Nyeri,KENHA,"  0°24'57.38""S"," 36°56'57.35""E",-0.4159,36.94926389
Samburu,Maralal,SFC,"  1° 5'47.63""N"," 36°41'52.23""E",1.0966,36.69784167
Samburu,Maralal,County commissioner,"  1° 5'33.07""N"," 36°41'35.69""E",1.0925,36.69324722
Samburu,Maralal,county Treasury,"  1° 5'37.84""N"," 36°41'40.34""E",1.0938,36.69453889
Samburu,Maralal,Public works,"  1° 5'25.32""N"," 36°41'32.84""E",1.0904,36.69245556
Siaya,Siaya,TKL,"  0° 3'37.82""N"," 34°17'9.59""E",0.0605,34.28599722
Siaya,Siaya,County commissioner,"  0° 3'30.52""N"," 34°17'17.10""E",0.0585,34.28808333
Siaya,Siaya,Governor,"  0° 3'27.39""N"," 34°17'15.83""E",0.0576,34.28773056
Siaya,Siaya,KERRA,"  0° 3'28.16""N"," 34°16'57.03""E",0.0578,34.28250833
Taita Taveta,Wundanyi,Deputy County commissioner,"  3°24'5.09""S"," 38°21'30.36""E",-3.4014,38.35843333
Taita Taveta,Wundanyi,KNA,"  3°24'13.11""S"," 38°21'42.52""E",-3.4036,38.36181111
Taita Taveta,Wundanyi,Prison,"  3°24'18.80""S"," 38°21'41.77""E",-3.4052,38.36160278
Trans Nzoia,Kitale,TKL,"  1° 0'53.47""N"," 35° 0'16.01""E",1.0149,35.00444722
Trans Nzoia,Kitale,County commissioner,"  1° 0'45.78""N"," 35° 0'0.83""E",1.0127,35.00023056
Trans Nzoia,Kitale,Governor,"  1° 0'53.43""N"," 35° 0'5.94""E",1.0148,35.00165
Trans Nzoia,Kitale,Assembly,"  1° 0'49.36""N"," 35° 0'2.91""E",1.0137,35.00080833
West Pokot,Kapenguria,TKL,"  1°15'1.44""N"," 35° 6'45.24""E",1.2504,35.11256667
West Pokot,Kapenguria,County commissioner,"  1°14'25.49""N"," 35° 7'7.27""E",1.2404,35.11868611
West Pokot,Kapenguria,Assembly,"  1°14'24.09""N"," 35° 7'12.44""E",1.2400,35.12012222
West Pokot,Kapenguria,County ICT,"  1°14'35.74""N"," 35° 7'0.66""E",1.2433,35.11685
Vihiga,Vihiga,TKL/SFC,"  0° 4'54.26""N"," 34°43'20.85""E",0.0817,34.72245833
Vihiga,Vihiga,County commissioner,"  0° 4'46.00""N"," 34°43'27.19""E",0.0794,34.72421944
Vihiga,Vihiga,Governor,"  0° 4'48.62""N"," 34°43'25.70""E",0.0802,34.72380556
Vihiga,Vihiga,Water,"  0° 4'47.94""N"," 34°43'23.17""E",0.0800,34.72310278
Laikipia,Rumuruti,SFC,"  0°15'43.11""N"," 36°32'14.12""E",0.2620,36.53725556
Laikipia,Rumuruti,Deputy Commissioner,"  0°15'44.75""N"," 36°32'21.78""E",0.2624,36.53938333
Laikipia,Rumuruti,Veterinary ,"  0°15'47.22""N"," 36°32'22.49""E",0.2631,36.53958056
Laikipia,Rumuruti,Hospital,"  0°16'17.49""N"," 36°31'59.81""E",0.2715,36.53328056
Turkana,Lodwar,TKL,"  3° 7'12.13""N"," 35°35'43.25""E",3.1200,35.59534722
Turkana,Lodwar,County commissioner,"  3° 7'5.80""N"," 35°36'11.51""E",3.1183,35.60319722
Turkana,Lodwar,county Treasury,"  3° 6'40.11""N"," 35°37'4.40""E",3.1111,35.61788889
Turkana,Lodwar,KNA,"  3° 7'1.32""N"," 35°36'9.82""E",3.1170,35.60272778
Mandera,Mandera,TKL,"  3°56'21.26""N"," 41°51'34.78""E",3.9392,41.85966111
Mandera,Mandera,County commissioner,"  3°56'22.09""N"," 41°51'46.59""E",3.9395,41.86294167
Mandera,Mandera,Geneva,"  3°56'29.96""N"," 41°51'59.35""E",3.9417,41.86648611
Mandera,Mandera,KNA,"  3°56'21.53""N"," 41°51'43.23""E",3.9393,41.86200833
Marsabit,Marsabit,TKL,"  2°19'39.43""N"," 37°59'12.77""E",2.3276,37.98688056
Marsabit,Marsabit,county commissioner,"  2°19'31.16""N"," 37°59'11.15""E",2.3253,37.98643056
Marsabit,Marsabit,Police,"  2°19'26.39""N"," 37°59'15.96""E",2.3240,37.98776667
Marsabit,Marsabit,Refferal hospital,"  2°19'25.12""N"," 37°59'27.34""E",2.3236,37.99092778
Nyandarua,Olkalau,SFC,"  0°16'16.09""S"," 36°22'28.21""E",-0.2711,36.37450278
Nyandarua,Olkalau,County commissioner,"  0°17'25.09""S"," 36°22'31.95""E",-0.2903,36.37554167
Nyandarua,Olkalau,Hospita A,"  0°15'21.36""S"," 36°22'30.19""E",-0.2559,36.37505278
Nyandarua,Olkalau,PSB,"  0°16'49.52""S"," 36°22'39.46""E",-0.2804,36.37762778
,,,,,,
